EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11X0-0000-0544-U;FREQUENZ;Frequenz Energy-as-a-Service GmbH;;;Active;;;DE326868800;Balance Responsible Party;X
11X0-0000-0545-R;QCELLLS;Hanwha Q CELLS GmbH;;;Active;;;DE284757331;Balance Responsible Party;X
11X0-0000-0549-F;ECOT;Ecotrust Energy GmbH;;;Active;;;DE327876393;Balance Responsible Party;X
11X0-0000-0553-T;ORSTEDSALES;Orsted Sales GmbH;;;Active;;;DE300146455;Balance Responsible Party;X
11X0-0000-0554-Q;ENERGETECH;ENERGETECH TRADING DMCC;;;Active;;;NONE;Balance Responsible Party;X
11X0-0000-0556-K;SSDL;SUMITOMO DEUTSCHLAND GMBH;;;Active;;;DE119365499;Balance Responsible Party;X
11X0-0000-0557-H;TIBBER_GER;Tibber Deutschland GmbH;;;Active;;;DE326970067;Balance Responsible Party;X
11X0-0000-0563-P;RWEG-KAPRES-GERK;RWE Generation SE;;;Active;;;DE114216469;Balance Responsible Party;X
11X0-0000-0565-J;SW_ISERLOHN_GMBH;Stadtwerke Iserlohn GmbH;;;Active;;;DE170843307;Balance Responsible Party;X
11X0-0000-0567-D;BORKUMI;Borkum Riffgrund I Offshore Windpark A/S GmbH & Co. oHG;;;Active;;;DE286889247;Trade Responsible Party;X
11X0-0000-0568-A;GODEWIND2;Gode Wind 2 Offshore Wind Farm P/S GmbH & Co. oHG;;;Active;;;DE296930681;Trade Responsible Party;X
11X0-0000-0571-R;MAXENERGY;MaxEnergy GmbH;;;Active;;;DE260113132;Balance Responsible Party;X
11X0-0000-0573-L;SWG-LF;Stadtwerke Görlitz AG;;;Active;;;DE140509609;Balance Responsible Party;X
11X0-0000-0574-I;RWE-G-HYDRO;RWE Generation Hydro GmbH;;;Active;;;DE327651706;Balance Responsible Party;X
11X0-0000-0575-F;11XBESTORAGED--Y;11XBESTORAGED--Y;;;Active;;;DE315475566;Balance Responsible Party;X
11X0-0000-0580-Q;EEMGMBH;E.ON Energy Markets GmbH;;;Active;;;DE326239302;Balance Responsible Party;X
11X0-0000-0581-N;OCTAEDERGMBH;OCTAEDER GMBH;;;Active;;;DE316503812;Balance Responsible Party;X
